Rep Rate,Power,Database file name,conentration wavelength [nm],Waveguide Length [mm],Averaging time [s],Value
78.56MHz,8,NH3-25T-UV,1485.98,1500.00,8.678055258764736,527036.1524176801
78.56MHz,8,NH3-25T-UV,1485.98,1500.00,17.356110517529473,243093.73180239485
78.56MHz,8,NH3-25T-UV,1485.98,1500.00,34.712221035058946,140082.12831991064
78.56MHz,8,NH3-25T-UV,1485.98,1500.00,86.78055258764736,55824.07480042428
78.56MHz,8,NH3-25T-UV,1485.98,1500.00,173.56110517529473,17693.377059874652
