Rep Rate,Power,Database file name,conentration wavelength [nm],Waveguide Length [mm],Averaging time [s],Value
78.56MHz,8,NH3-25T,1475.00,2.00,8.678055258764736,0.02019749543263173
78.56MHz,8,NH3-25T,1475.00,2.00,17.356110517529473,0.009307958307375139
78.56MHz,8,NH3-25T,1475.00,2.00,34.712221035058946,0.005020233663297085
78.56MHz,8,NH3-25T,1475.00,2.00,86.78055258764736,0.001619206985932419
78.56MHz,8,NH3-25T,1475.00,2.00,173.56110517529473,0.000956941971723849
