Rep Rate,Power,Database file name,conentration wavelength [nm],Waveguide Length [mm],Averaging time [s],Value
29.19MHz,9,NH3-25T,1475.00,0.50,1.7683525562286377,2.8837548339233328
29.19MHz,9,NH3-25T,1475.00,0.50,3.5367051124572755,0.28744275088976956
29.19MHz,6,NH3-25T,1475.00,0.50,1.4395243326822917,6.238879411796486
29.19MHz,6,NH3-25T,1475.00,0.50,2.8790486653645835,2.597715241408148
